t, y, yd
1.580000000000000071e+00,-7.633045501775140296e-02,-5.956755536471888268e-01
1.590000000000000080e+00,-8.224972079068218478e-02,-5.881703611258988218e-01
1.600000000000000089e+00,-8.809372122153708018e-02,-5.806228006020943688e-01
1.610000000000000098e+00,-9.386204230555719730e-02,-5.730347956323647018e-01
1.620000000000000107e+00,-9.955428917080752504e-02,-5.654082586567719115e-01
1.630000000000000115e+00,-1.051700860054909370e-01,-5.577450907519607703e-01
1.640000000000000124e+00,-1.107090759408106556e-01,-5.500471813658190934e-01
1.650000000000000133e+00,-1.161709209310391316e-01,-5.423164080572775436e-01
1.660000000000000142e+00,-1.215553016308694723e-01,-5.345546362413066133e-01
1.669999999999999929e+00,-1.268619172701244691e-01,-5.267637189391632946e-01
1.679999999999999938e+00,-1.320904855258997757e-01,-5.189454965339429515e-01
1.689999999999999947e+00,-1.372407425043435658e-01,-5.111017965257333984e-01
1.699999999999999956e+00,-1.423124426045170587e-01,-5.032344332981151247e-01
1.709999999999999964e+00,-1.473053582024918540e-01,-4.953452078992419683e-01
1.719999999999999973e+00,-1.522192796214290045e-01,-4.874359078136435985e-01
1.729999999999999982e+00,-1.570540149976603628e-01,-4.795083067448356884e-01
1.739999999999999991e+00,-1.618093901446678584e-01,-4.715641644035628577e-01
1.750000000000000000e+00,-1.664852484154764056e-01,-4.636052263017069741e-01
1.760000000000000009e+00,-1.710814505635512850e-01,-4.556332235519147122e-01
1.770000000000000018e+00,-1.755978746022927306e-01,-4.476498726729983835e-01
1.780000000000000027e+00,-1.800344156462204137e-01,-4.396568753777034821e-01
1.790000000000000036e+00,-1.843909855260963127e-01,-4.316559180560339826e-01
1.800000000000000044e+00,-1.886675129411881924e-01,-4.236486720074231216e-01
1.810000000000000053e+00,-1.928639432928820063e-01,-4.156367932405252708e-01
1.820000000000000062e+00,-1.969802384702868392e-01,-4.076219222140972098e-01
1.830000000000000071e+00,-2.010163766958544262e-01,-3.996056836679839352e-01
1.840000000000000080e+00,-2.049723523696324323e-01,-3.915896864594203830e-01
1.850000000000000089e+00,-2.088481759122210735e-01,-3.835755234046732687e-01
1.860000000000000098e+00,-2.126438736065027479e-01,-3.755647711260446386e-01
1.870000000000000107e+00,-2.163594874382140376e-01,-3.675589899042625563e-01
1.880000000000000115e+00,-2.199950748700951197e-01,-3.595597234500733652e-01
1.890000000000000124e+00,-2.235507085699184326e-01,-3.515684986217547103e-01
1.900000000000000133e+00,-2.270264765102076865e-01,-3.435868256397749954e-01
1.910000000000000142e+00,-2.304224816913184037e-01,-3.356161978111252830e-01
1.919999999999999929e+00,-2.337388419632019654e-01,-3.276580913904347248e-01
1.929999999999999938e+00,-2.369756898547557000e-01,-3.197139654575968937e-01
1.939999999999999947e+00,-2.401331724020393799e-01,-3.117852618003377208e-01
1.949999999999999956e+00,-2.432114509754127463e-01,-3.038734048017228684e-01
